Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Okonkwo,Wrexham,Wrexham,GK,23,1800000,30/06/2027,14,1382,0,0,0,0,0.78,50,England,"England, Nigeria",right,198,85,no,1.69,0.07,0,0.39,66.67,0.07,0.08,0,1.63,1.94,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,50,0.26,50,0,0,0,7.81,0,0,15.43,79.75,10.22,73.25,0,0,4.36,95.52,6.77,97.12,8.47,67.69,41.73,55.34,0,0,0,0,0,0,0,3.71,61.4,0.26,25,0.07,0,0.07,0,6.58,82.18,10,0.65,51,3.32,8,80.39,12.55,0.82,2.55,0.166,0,1.5,0.39,,,,0,0,0
D. Pines,Barnsley,Barnsley,"CB, RCB",26,1700000,30/06/2025,11,559,1,0.82,0,0.04,21.25,65.91,United States,United States,right,196,88,no,11.59,7.08,86.36,8.53,64.15,0.16,0.26,0.32,5.31,8.68,1.45,3,0.48,0,0,0.32,0.16,1,0.16,0.13,1,0.16,3,0.48,66.67,33.333,0,0,0,0,0,0,0,0,0.32,0,1.77,27.27,0.64,0,0,14.81,0.16,0.64,27.37,80,10.14,60.32,2.25,100,13.04,91.36,23.83,87.16,3.54,31.82,17.93,35.11,0.01,0.16,0,0.16,0,0,0,2.25,28.57,0.64,25,0.32,0,0.32,0,4.67,41.38,0,,0,,0,0,0,0,,,1.93,,,0,0,0,0,0,0
L. Chambers,Wigan Athletic,Wigan Athletic,"LB, LCB",20,1500000,31/05/2025,10,927,1,0.08,0,2.14,18.16,52.41,England,England,left,181,72,yes,8.25,7.96,69.51,3.2,27.27,0.1,0.12,0,2.62,3.13,0.97,0,0,0,0,1.84,0.1,1,0.1,0.01,0,0,2,0.19,50,50,0,1.46,60,1.46,60,0,0,0.29,1.17,75,4.76,42.86,0.58,1.55,0.39,32.23,0.68,1.17,41.36,83.57,15.73,75.93,6.41,96.97,12.82,88.64,36.31,88.5,3.69,44.74,18.74,33.35,0.21,1.26,0.1,0,0,0,0.39,5.05,65.38,1.46,60,0.29,0,0,0.68,7.96,76.83,0,,0,,0,0,0,0,,,0.19,,,1.26,0.1,100,2.04,0,0
E. Hansson,Birmingham City,Birmingham City,LAMF,26,1500000,30/06/2027,11,597,0,0.84,1,0.53,13.57,45.56,Norway,"Norway, Sweden",right,172,68,no,5.13,4.67,58.06,0.9,16.67,0.15,0.31,0,2.26,4.64,0.6,0,0,0,0,6.03,0,0,0,0.13,0,0,9,1.36,77.78,0,0.15,5.43,38.89,4.97,42.42,0.15,0,0.45,4.82,59.38,7.54,44,4.22,3.92,0.6,28.64,1.66,0.3,34.22,81.94,6.18,73.17,12.51,95.18,8.74,75.86,27.74,91.3,1.21,62.5,17.48,19.92,0.08,0.75,0.15,0,0,0,0.6,1.51,80,4.07,62.96,0.15,100,1.06,1.81,4.67,80.65,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. Poku,Peterborough United,Peterborough United,RAMF,23,1500000,30/06/2025,16,1539,10,5.54,4,3.12,24.68,38.39,England,"England, Ghana",left,179,67,no,4.5,3.33,70.18,1.58,11.11,0,0,0.12,2.16,3.29,0.47,0,0,0,0,6.14,0.58,10,0.58,0.32,0,0,48,2.81,37.5,20.833,0.23,3.04,26.92,0.41,28.57,2.51,23.26,0.7,6.96,57.98,17.89,35.29,4.15,3.45,0.99,22.16,1.17,1.46,31.87,77.8,7.37,63.49,9.12,92.31,9.94,82.94,27.19,85.38,1.75,43.33,19.75,33.73,0.18,1.17,0.06,0,0.29,80,0.58,2.63,60,3.45,59.32,0.35,83.33,1.46,0.88,5.56,72.63,0,,0,,0,0,0,0,,,0,,,0.41,0.06,0,1.11,0,0
C. Coventry,Charlton Athletic,Charlton Athletic,"DMF, RCMF",24,1500000,30/06/2027,15,1442,1,0.44,1,1.99,19.04,54.43,England,"England, Republic of Ireland",right,177,65,no,11.98,8.8,67.38,3.06,42.86,0.81,1.12,0.31,5.24,7.24,1.44,6,0.37,0,0,1.69,0.06,1,0.06,0.03,0,0,15,0.94,33.33,6.667,0.06,1.56,48,0.62,60,0.94,40,0.19,1.19,47.37,4.12,40.91,0.25,0.62,0.19,24.84,0.06,1,43.13,83.5,13.86,68.47,7.05,98.23,16.98,87.5,34.45,90.76,7.24,56.9,20.59,37.38,0.12,0.94,0.06,0,0.06,100,0.31,8.86,66.9,3.37,55.56,0.56,22.22,1.25,0.56,8.61,76.09,0,,0,,0,0,0,0,,,1.37,,,1.5,0.12,50,2.31,0,0
J. Koroma,Huddersfield Town,Huddersfield Town,CF,26,1500000,30/06/2025,12,864,3,3.6,1,0.82,20.63,34.34,England,"England, Sierra Leone",right,178,66,no,2.19,2.4,52.17,4.17,12.5,0,0,0,0.94,1.38,0.83,0,0,0,0,3.85,0.31,3,0.31,0.37,2,0.21,28,2.92,28.57,10.714,0.1,1.67,25,1.15,27.27,0.52,20,0.31,4.06,58.97,11.46,36.36,3.13,1.04,0.42,10.42,2.08,1.67,17.4,70.66,3.65,60,5.42,90.38,4.27,70.73,14.9,76.22,0.83,62.5,16.85,21.37,0.09,0.94,0,0.21,0.21,100,0.52,1.25,58.33,1.77,41.18,0.31,66.67,0.94,0.31,2.5,75,0,,0,,0,0,0,0,,,0.1,,,0,0,0,0.21,2,0
A. Cochrane,Birmingham City,Birmingham City,LB,24,1500000,30/06/2028,15,1489,0,0.06,1,1.91,13.54,51.34,England,England,left,173,70,no,6.77,4.9,66.67,2.54,38.1,0.3,0.66,0.06,3.2,7.04,0.66,3,0.18,0,0,2.06,0,0,0,0,0,0,9,0.54,0,0,0.06,3.51,36.21,3.38,33.93,0.12,100,0.42,1.21,55,3.38,37.5,0.66,2.18,0.18,57.24,1.45,1.09,68.42,84.1,28.77,76.05,9.43,93.59,20.55,91.47,56.64,93.6,8.46,40,20.26,41.61,0.12,1.09,0.06,0.06,0.24,50,0.42,11.67,66.32,4.29,42.25,1.51,28,0.79,1.09,12.27,80.3,0,,0,,0,0,0,0,,,1.57,,,0.73,0.12,0,1.51,0,0
A. Collins,Bolton Wanderers,Bolton Wanderers,"LWF, AMF, CF",27,1300000,30/06/2027,16,1031,3,3.38,2,1.81,18.77,32.56,Wales,Wales,right,178,74,no,3.49,2.97,52.94,3.32,15.79,0.09,0.14,0,1.83,2.97,0.61,2,0.17,0,0,4.02,0.26,3,0.26,0.3,0,0,28,2.44,39.29,10.714,0.17,3.58,29.27,1.22,21.43,2.36,33.33,0.52,4.19,47.92,9.08,31.73,3.93,1.4,0.35,18.24,1.83,1.31,22.78,63.98,6.02,44.93,6.02,92.75,7.42,64.71,18.33,70.95,1.22,57.14,19.26,27.57,0.16,1.05,0,0.09,0.17,0,0.61,2.1,50,3.67,42.86,0.17,0,1.13,1.13,3.4,66.67,0,,0,,0,0,0,0,,,0,,,0.26,0.09,0,0.35,0,0
H. Kane,Huddersfield Town,Huddersfield Town,"LCMF, DMF, RCMF",26,1200000,30/06/2027,11,718,1,0.25,3,0.43,13.91,46.85,England,England,right,177,67,no,6.02,4.51,61.11,1.38,45.45,0.25,0.37,0.13,3.01,4.47,1,2,0.25,0,0,1.25,0.13,1,0.13,0.03,0,0,5,0.63,40,20,0.38,1.63,38.46,1,37.5,0.63,40,0,1,25,6.27,38,1,0.63,0.13,30.33,0.63,1.38,47.13,79.26,18.93,64.9,8.15,95.38,14.16,87.61,38.48,85.67,7.14,52.63,19.74,31.9,0.05,0.75,0,0,0.25,50,0.5,10.53,61.9,3.01,50,1.75,21.43,1.13,0.63,10.65,75.29,0,,0,,0,0,0,0,,,0.75,,,0.13,0.13,0,0.25,0,0
