Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Díaz,Liverpool,Liverpool,LAMF,27,75000000,30/06/2027,12,750,5,3.31,2,1.11,24.6,40.98,Colombia,Colombia,right,180,73,no,6.84,7.92,53.03,2.28,42.11,0.24,0.36,0,2.4,3.61,2.16,0,0,0,0,4.92,0.6,5,0.6,0.4,1,0.12,21,2.52,47.62,23.81,0.24,1.68,28.57,1.56,23.08,0.12,100,0.36,5.88,55.1,12.12,36.63,5.16,4.8,1.08,24,1.8,1.32,30.72,85.55,4.8,80,7.92,92.42,12,86,27.96,88.84,1.2,90,16.38,24.63,0.13,1.32,0,0,0.12,0,0.6,2.04,88.24,2.4,65,0,0,2.04,0.36,3.72,80.65,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
D. Szoboszlai,Liverpool,Liverpool,AMF,24,75000000,30/06/2028,12,929,1,1.48,1,0.87,13.56,50,Hungary,Hungary,right,186,74,no,6.59,6.88,53.52,1.65,47.06,0.1,0.15,0.19,2.81,4.22,1.55,3,0.29,0,0,1.65,0.1,1,0.1,0.14,0,0,16,1.55,31.25,6.25,0.1,1.26,30.77,0.19,50,1.07,27.27,0.19,1.26,53.85,3.58,45.95,2.13,2.13,0.87,31.49,1.26,0.68,42.24,85.78,8.43,68.97,12.69,95.42,11.63,87.5,39.43,88.45,1.74,61.11,16.19,31.43,0.08,1.36,0,0.19,0.29,33.33,0.29,4.46,73.91,2.23,60.87,0.19,50,1.26,0.29,3.68,68.42,0,,0,,0,0,0,0,,,1.16,,,0.39,0.1,0,0.58,0,0
A. Mac Allister,Liverpool,Liverpool,LDMF,25,75000000,30/06/2028,12,891,0,0.62,0,0.72,16.46,56.44,Argentina,"Argentina, Italy",right,174,72,no,9.7,8.69,61.63,1.62,43.75,0.1,0.15,0,4.24,6.43,1.52,4,0.4,0,0,1.01,0,0,0,0.06,0,0,7,0.71,57.14,0,0,0.51,40,0.4,50,0.1,0,0,0.71,57.14,3.94,48.72,2.02,1.21,0.4,36.26,0.2,1.21,46.67,86.58,11.92,75.42,10.1,97,14.95,89.19,43.43,88.84,2.73,59.26,15.74,26.31,0.07,0.51,0.1,0,0.4,0,0.1,5.35,86.79,1.92,57.89,0.71,28.57,1.01,0.2,5.35,71.7,0,,0,,0,0,0,0,,,0.2,,,0.1,0,0,0,0,0
M. Caicedo,Chelsea,Chelsea,RDMF,23,75000000,30/06/2031,12,1187,1,0.28,2,0.88,17.06,58.67,Ecuador,Ecuador,right,178,71,no,9.78,8.57,66.37,1.44,52.63,0.45,0.67,0.45,3.64,5.37,1.82,3,0.23,0,0,1.36,0.08,1,0.08,0.02,0,0,7,0.53,14.29,14.286,0.15,0.53,28.57,0.08,0,0.38,40,0.08,1.59,52.38,5.38,52.11,0.3,0.83,0.15,34.57,0.08,1.29,48.15,88.98,13.19,78.16,7.28,96.88,19.56,93.41,44.05,91.22,3.56,70.21,17.32,33.65,0.07,0.45,0,0.08,0.45,66.67,0.53,7.81,82.52,1.36,66.67,0.61,50,0.53,0.15,6.75,75.28,0,,0,,0,0,0,0,,,0.83,,,0,0,0,0,0,0
E. Fernández,Chelsea,Chelsea,"LDMF, RDMF",23,75000000,30/06/2032,11,795,1,1.24,1,1.22,15.62,49.28,Argentina,Argentina,right,178,78,no,9.74,6.45,68.42,1.81,18.75,0.45,0.67,0.11,4.87,7.17,0.79,1,0.11,0,0,1.36,0.11,1,0.11,0.14,1,0.11,8,0.91,37.5,12.5,0.11,1.47,38.46,0.79,42.86,0.68,33.33,0.11,1.13,40,5.21,39.13,1.81,0.91,0.23,34.75,0.45,1.47,46.42,83.17,14.38,70.08,8.26,95.89,16.87,88.59,40.53,88.27,4.42,51.28,19.01,31.76,0.14,1.13,0.23,0,0.23,0,0.57,8.49,73.33,2.26,45,0.79,14.29,0.68,0.57,6.23,69.09,0,,0,,0,0,0,0,,,0.34,,,0.11,0,0,2.04,0,0
T. Alexander-Arnold,Liverpool,Liverpool,RB,26,70000000,30/06/2025,11,942,0,0.54,0,2.44,12.61,49.24,England,England,right,180,69,no,7.93,7.64,61.25,0.96,30,0.1,0.14,0.19,3.15,4.65,0.29,2,0.19,0,0,2.2,0,0,0,0.05,0,0,11,1.05,27.27,0,0,2.29,45.83,0.38,75,1.72,33.33,0.19,1.72,44.44,3.34,34.29,1.05,1.43,0.57,36.5,0.96,0.38,46.62,75,21.5,62.67,6.21,100,13.09,78.1,34.68,87.33,9.84,37.86,21.64,39.15,0.23,1.72,0.29,0,0.29,33.33,0.48,9.55,53,4.39,50,2.1,22.73,1.34,0.86,11.56,71.9,0,,0,,0,0,0,0,,,1.24,,,0.96,0.19,50,2.2,0,0
Bernardo Silva,Manchester City,Manchester City,"RCMF, RW, LCMF",30,70000000,30/06/2026,12,1039,0,2.22,3,2.23,13.77,38.36,Portugal,Portugal,left,173,64,no,5.2,4.24,61.22,0.78,11.11,0.52,0.87,0.17,2.08,3.5,0.69,3,0.26,0,0,2.25,0,0,0,0.19,0,0,16,1.39,37.5,0,0.26,2.95,20.59,1.3,40,1.65,5.26,0.35,2.6,40,7.28,30.95,6.58,2.95,0.61,38.55,0.69,0.52,48.33,87.63,7.62,82.95,12.99,98,16.8,84.02,43.31,94.4,2.08,41.67,15.75,20.53,0.19,1.99,0.09,0.09,0.35,25,0.78,2.6,80,2.51,51.72,0.95,18.18,2.34,0.61,4.07,85.11,0,,0,,0,0,0,0,,,0.35,,,0.17,0,0,0.69,0,0
J. Maddison,Tottenham Hotspur,Tottenham Hotspur,LCMF,28,70000000,30/06/2028,12,832,5,2.69,2,1.89,18.93,50.86,England,England,right,175,73,no,5.08,6.27,46.55,1.08,50,0.22,0.34,0.22,1.95,3.1,1.19,2,0.22,0,0,6.92,0.54,5,0.54,0.29,0,0,21,2.27,61.9,23.81,0.22,3.03,57.14,1.84,58.82,0.76,71.43,0.32,4.98,71.74,9.95,55.43,3.89,1.41,0.22,42.73,0.54,2.81,51.49,88.45,17.74,84.15,9.3,96.51,17.09,89.87,45.43,92.62,3.35,54.84,17.11,30.06,0.2,1.73,0.22,0.11,0.43,50,0.76,7.03,81.54,3.89,61.11,0.87,12.5,1.95,1.51,7.46,91.3,0,,0,,0,0,0,0,,,0.32,,,1.41,0.22,50,4.11,0,0
D. Núñez,Liverpool,Liverpool,CF,25,70000000,30/06/2028,9,576,2,1.59,1,0.18,17.97,43.48,Uruguay,Uruguay,right,186,80,no,5.16,5.78,54.05,4.38,35.71,0.16,0.24,0.16,1.88,2.9,1.88,2,0.31,0,0,2.5,0.31,2,0.31,0.25,0,0,13,2.03,53.85,15.385,0.16,0.31,50,0.16,100,0.16,0,0,2.03,61.54,6.41,46.34,4.53,1.88,0.78,11.56,2.34,1.09,14.69,75.53,3.59,65.22,4.06,92.31,3.59,65.22,13.28,78.82,1.09,42.86,17.01,22.56,0.03,0.31,0.16,0,0,0,0.47,0.78,60,0.94,16.67,0.16,100,0.78,0.16,1.56,60,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Gabriel Martinelli,Arsenal,Arsenal,"LW, LWF, LCMF",23,70000000,30/06/2027,11,745,3,1.33,2,1.52,20.17,38.32,Brazil,"Brazil, Italy",right,178,75,no,5.32,5.32,56.82,1.93,37.5,0,0,0,2.3,3,0.6,0,0,0,0,4.83,0.36,3,0.36,0.16,0,0,11,1.33,63.64,27.273,0.24,4.11,35.29,4.11,35.29,0,0,0.24,5.07,47.62,10.99,31.87,4.83,4.23,0.72,17.52,2.3,0.72,24.4,73.76,3.99,63.64,7.61,96.83,7.37,63.93,19.57,83.33,0.85,28.57,17.53,12.3,0.18,1.09,0,0,0.12,100,0.97,0.85,28.57,3.5,44.83,0.24,50,1.33,1.45,2.17,72.22,0,,0,,0,0,0,0,,,0,,,0,0,0,0.12,0,0
