Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Piroe,Leeds United,Leeds United,"CF, AMF",25,14000000,30/06/2027,16,827,6,3.88,1,0.87,16,29.25,Netherlands,"Netherlands, Suriname",left,185,81,no,2.39,2.39,63.64,4.03,27.03,0,0,0,0.87,1.35,0.87,0,0,0,0,1.63,0.65,6,0.65,0.42,1,0.11,22,2.39,40.91,27.273,0.11,0.33,33.33,0.33,33.33,0,0,0,1.52,21.43,6.96,17.19,3.05,1.09,0,14.15,0.76,0.54,18.72,73.26,5.77,60.38,4.24,87.18,4.35,75,17.85,75,0.54,40,15.66,9.49,0.1,0.76,0,0,0.44,50,0.22,2.94,70.37,1.85,58.82,0.44,50,1.31,0.11,2.29,71.43,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Morris,Luton Town,Luton Town,"CF, RWF",28,13000000,,13,958,4,5.05,1,1.01,29.78,36.91,England,England,right,185,85,no,3.1,2.54,62.96,9.58,47.06,0,0,0.28,1.5,2.22,1.13,4,0.38,0,0,2.44,0.38,2,0.19,0.47,1,0.09,22,2.07,45.45,18.182,0.09,1.13,16.67,0.28,33.33,0.75,0,0.28,1.6,76.47,13.43,26.57,4.23,0.56,0,12.49,2.16,2.16,19.35,69.42,4.23,62.22,6.29,80.6,4.79,62.75,17.29,75,0.94,30,15.78,18.23,0.1,0.47,0,0.09,0.19,50,0.09,1.22,69.23,1.78,21.05,0.28,0,0.38,0.19,1.78,63.16,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0,2,100
M. Whittaker,Plymouth Argyle,Plymouth Argyle,"RAMF, RW",23,12000000,30/06/2027,15,1428,3,1.5,0,0.83,17.21,42.86,England,England,left,183,69,no,3.78,4.41,55.71,1.39,22.73,0.25,0.34,0.06,1.07,1.43,1.01,3,0.19,0,0,3.47,0.19,3,0.19,0.09,1,0.06,41,2.58,34.15,7.317,0,2.02,28.13,0.25,0,1.7,33.33,0.19,3.59,54.39,10.08,40.63,1.26,1.64,0.13,22.31,1.39,1.83,25.78,75.79,5.42,59.3,5.42,91.86,10.59,75.6,20.92,82.53,2.9,58.7,20.22,38.79,0.05,0.57,0,0,0.06,100,0.25,3.59,59.65,2.39,50,0.38,50,0.5,0.57,4.47,76.06,0,,0,,0,0,0,0,,,0.06,,,0.57,0.06,100,0,0,0
E. Adebayo,Luton Town,Luton Town,"CF, RWF",26,12000000,,16,1263,2,5.85,0,0.51,27.22,27.49,England,"England, Nigeria",right,193,89,no,3.78,4.06,36.84,6.27,32.95,0,0,0.14,2.28,3.24,2.42,1,0.07,0,0,2.57,0.14,2,0.14,0.42,1,0.07,28,2,50,7.143,0,0.64,0,0.43,0,0.21,0,0.07,2.85,55,10.69,21.33,4.49,1.28,0.21,6.98,1.07,1.07,8.62,75.21,1.78,56,2.99,90.48,1.85,73.08,7.91,81.08,0.07,100,14.91,2.89,0.04,0.36,0,0,0,0,0.07,0.5,71.43,0.57,25,0,0,0.43,0,0.5,42.86,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0,0,0
T. Mengi,Luton Town,Luton Town,"LCB, RCB",22,12000000,,13,1185,1,0.95,0,0.22,12.91,62.94,England,"England, Angola",right,186,78,no,8.66,5.01,78.79,3.65,64.58,0.38,0.52,0.3,4.33,5.92,0.61,2,0.15,0,0,0.76,0.08,1,0.08,0.07,0,0,9,0.68,44.44,11.111,0,0.46,33.33,0.08,0,0.38,40,0,0.46,66.67,2.51,42.42,0.91,0.68,0.15,24.46,0.23,0.38,39.27,78.53,17.47,63.04,4.25,98.21,13.37,90.91,32.28,86.35,6.53,43.02,21.71,42.79,0.02,0.23,0,0,0,0,0.08,6.91,49.45,1.06,35.71,0.23,0,0.23,0.15,7.52,57.58,0,,0,,0,0,0,0,,,1.82,,,0.08,0,0,0,0,0
A. Patterson,Sunderland,Sunderland,GK,24,12000000,30/06/2028,13,1307,0,0.13,0,0,0.41,100,England,England,right,188,77,no,1.17,0,0,0.28,100,0,0,0,1.17,1.44,0,1,0.07,0,0,0.07,0,0,0,0.01,0,0,1,0.07,100,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0.07,0,0,14.87,0.14,0.21,22.45,79.75,11.57,63.69,0,0,10.19,97.3,13.91,97.03,8.4,52.46,32.79,51.39,0,0,0,0,0,0,0,2.69,41.03,0.28,0,0.14,50,0,0,5.37,56.41,10,0.69,37,2.55,7,72.97,10.22,0.7,0.22,0.015,0,0.96,0.28,,,,0,0,0
J. Bellingham,Sunderland,Sunderland,"LCMF, LDMF",19,12000000,30/06/2028,14,1336,2,0.81,1,0.68,21.42,43.08,England,England,right,178,69,no,8.89,5.73,63.53,3.97,47.46,1.01,1.24,0.27,4.24,5.21,1.01,4,0.27,1,0.07,1.55,0.13,2,0.13,0.05,1,0.07,16,1.08,18.75,12.5,0.07,0.27,50,0.2,33.33,0.07,100,0,1.82,62.96,8.76,30.77,1.28,0.67,0.27,22.77,0.27,1.21,32.81,88.91,7.68,77.19,7.21,98.13,12.8,91.58,31.53,89.96,1.08,62.5,17.61,26.51,0.05,0.47,0,0.07,0.13,50,0.2,3.5,76.92,0.88,53.85,0.2,33.33,0.34,0.13,3.3,69.39,0,,0,,0,0,0,0,,,0.2,,,0,0,0,0,0,0
Vini Souza,Sheffield United,Sheffield United,"LDMF, LCMF, RCMF",25,12000000,30/06/2027,16,1561,0,0.39,0,0.1,18.39,57.05,Brazil,Brazil,right,187,80,no,10.95,8.3,70.14,2.48,58.14,0.63,0.82,0.35,4.5,5.81,1.9,6,0.35,0,0,0.81,0,0,0,0.02,0,0,8,0.46,50,0,0,0.12,50,0.06,0,0.06,100,0,0.92,56.25,5.19,43.33,0.58,0.52,0,33.27,0,1.15,46.7,90.74,12.4,81.4,7.96,94.93,17.76,94.48,44.68,92.26,1.9,57.58,17.14,31.96,0.01,0.35,0.12,0.06,0,0,0,5.36,88.17,0.46,50,0.06,0,0.12,0.06,5.88,70.59,0,,0,,0,0,0,0,,,1.04,,,0,0,0,0,0,0
B. Aaronson,Leeds United,Leeds United,AMF,24,12000000,30/06/2027,16,1355,4,3.3,1,2.51,22.65,37.83,United States,United States,right,177,69,no,5.71,6.11,66.3,2.39,38.89,0.07,0.1,0.07,1.59,2.5,1,0,0,0,0,2.46,0.27,4,0.27,0.22,0,0,29,1.93,27.59,13.793,0.07,1.2,44.44,0.53,37.5,0.66,50,0.13,3.25,34.69,11.82,20.22,3.19,1.26,0.2,24.64,0.46,1,32.28,83.95,8.77,68.18,9.3,97.86,7.04,84.91,30.82,85.56,0.27,75,14.2,7.95,0.17,1.39,0.07,0,0.66,40,0.73,3.45,69.23,2.13,62.5,0.66,40,1.33,0.53,3.72,73.21,0,,0,,0,0,0,0,,,0.13,,,0.4,0.2,33.33,0.86,0,0
A. Doughty,Luton Town,Luton Town,"LWB, LB",24,10000000,,13,1305,0,0.72,3,5.32,16.83,49.18,England,England,left,183,68,no,8.76,7.24,60,1.38,30,0.21,0.3,0.21,4.21,6,1.38,5,0.34,0,0,4.07,0,0,0,0.05,0,0,11,0.76,27.27,0,0.21,4.07,49.15,3.24,44.68,0.76,63.64,0.55,3.79,49.09,6.28,37.36,0.9,2.14,0.41,22.76,1.31,0.28,34,76.27,11.38,60.61,5.93,96.51,12.34,82.12,24.21,87.18,5.93,51.16,24.22,45.76,0.37,2.76,0.14,0,0,0,0.28,6.21,61.11,4.41,53.13,0.34,40,0.69,1.93,10.21,75,0,,0,,0,0,0,0,,,0.76,,,3.52,0.21,0,6.48,0,0
